Alias,1,7,2
Cell,2,12,11
ColumnResize,14,15,10
ContextMenu,3,3,2
Copy,4,2,1
Cross,5,13,11
Custom,-1,-3,-4
EastPanning,12,13,12
EastResize,14,15,10
EastWestResize,14,15,10
Grab,6,7,2
Grabbing,8,7,2
Hand,7,9,0
Help,9,2,2
IBeam,18,12,12
MiddlePanning,12,13,12
Move,12,13,12
NoDrop,13,2,1
None,0,-3,-4
NorthEastPanning,12,13,12
NorthEastResize,17,13,10
NorthEastSouthWestResize,17,13,11
NorthPanning,12,13,12
NorthResize,15,11,12
NorthSouthResize,15,11,12
NorthWestPanning,12,13,12
NorthWestResize,16,11,10
NorthWestSouthEastResize,16,13,12
NotAllowed,13,2,1
Pointer,10,2,1
Progress,11,13,12
RowResize,15,11,12
SouthEastPanning,12,13,12
SouthEastResize,16,11,10
SouthPanning,12,13,12
SouthResize,15,11,12
SouthWestPanning,12,13,12
SouthWestResize,17,13,10
VerticalText,19,13,11
Wait,11,13,12
WestPanning,12,13,12
WestResize,14,15,10
ZoomIn,20,9,9
ZoomOut,21,10,9
